Pipe created successfully
Pipe created successfully
God task created successfully
User Interaction task created successfully
Semaphore created successfully
Tower task started!
Tower task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Last instance period =    284 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    193 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    241 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    195 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    189 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    207 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    232 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    302 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    193 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    224 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    223 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    217 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    316 Maximum =    611 Minumum =    178 (us), Seconds: 
Last instance period =    171 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    234 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    198 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    185 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    228 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    295 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    184 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    175 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    184 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    199 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    191 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    190 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    188 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    296 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    188 Maximum =    611 Minumum =    171 (us), Seconds: 
Last instance period =    170 Maximum =    611 Minumum =    170 (us), Seconds: 
Last instance period =    177 Maximum =    611 Minumum =    170 (us), Seconds: 
Last instance period =    284 Maximum =    611 Minumum =    170 (us), Seconds: 
Last instance period =    343 Maximum =    611 Minumum =    170 (us), Seconds: 
Last instance period =    189 Maximum =    611 Minumum =    170 (us), Seconds: 
Last instance period =    174 Maximum =    611 Minumum =    170 (us), Seconds: 
Last instance period =    168 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    354 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    305 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    176 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    203 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    176 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    189 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    182 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    196 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    176 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    179 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    202 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    245 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    198 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    195 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    177 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    209 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    187 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    181 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    285 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    183 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    197 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    203 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    200 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    221 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    187 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    199 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    219 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    285 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    206 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    177 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    183 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    191 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    181 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    183 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    173 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    324 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    197 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    192 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    176 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    257 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    185 Maximum =    611 Minumum =    168 (us), Seconds: 
Last instance period =    823 Maximum =    823 Minumum =    168 (us), Seconds: 
Last instance period =    151 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    151 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    152 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    154 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    188 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    187 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    198 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    169 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    193 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    194 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    172 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    154 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    155 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    194 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    159 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    156 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    160 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    202 Maximum =    823 Minumum =    151 (us), Seconds: 
Last instance period =    147 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    177 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    189 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    265 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    169 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    176 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    160 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    162 Maximum =    823 Minumum =    147 (us), Seconds: 
Last instance period =    140 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    554 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    180 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    210 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    187 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    228 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    207 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    193 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    194 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    150 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    166 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    166 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    237 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    325 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    196 Maximum =    823 Minumum =    140 (us), Seconds: 
Last instance period =    212 Maximum =    823 Minumum =    140 (us), Seconds: 
