Last instance period =     14 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     27 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     23 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     21 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     22 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     19 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     25 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     18 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     28 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     28 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     23 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     21 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     30 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     24 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     36 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     23 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     23 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     34 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     24 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     23 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     68 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     23 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     26 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     22 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     22 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     19 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      5 (us), Seconds: 
Last instance period =      4 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      5 Maximum =     90 Minumum =      4 (us), Seconds: 
Last instance period =      8 Maximum =     90 Minumum =      4 (us), Seconds: 
